index,ID,评语,positive_prob,confidence,negative_prob,sentiment,情感极性判断,平均分,Tag
1,2.85E+18,本论文的选题很有现实意义，论文的结构合理、内容充实、论证逻辑性较强。不足之处主要有：文献综述需要进一步充实、完整和深入，论文主体内容中习近平有关家风方面的论述及其意义还有待深入挖掘，论文在论证观点时引用文献资料的准确性方面需要进一步加强。论文选题具有较强的现实意义，论文结构合理，论证充分，行文规范。不足之处有二：一是没有很好地厘清“家风”的概念，在论述过程中经常与“家教”放在一起讨论；二是对习近平同志关于家风重要论述的内容呈现不够，特别是第3章第2节的论证不够充分。论文选题意义突出，文章结构、论述内容严整合。不足之处主要是对家风的理论阐释有所欠缺；对家风、乡风、政风、党风的关系论述不够充分。,0.987646,0.972546,0.0123545,2,正向,89,1
2,8.51E+17,本论文的选题具有较强的学术价值和现实意义，论文的结构合理、内容充实、论证逻辑性强。不足之处主要有：文献综述需要进一步深入梳理，论文主体内容中有关“同情”概念的界定需要进一步完善，论文的理论价值和现实意义还有待深入阐发。从整体上看这是一篇校高质量的治文。只是在外文原始资料的使用以及论述中的比较分析有所不足。论文选题有一定的前沿性，结构合理，论证充分，行文规范。不足之处：斯洛特作为当代西方有影响力的伦理学学者，其移情伦理思想对当前我国的道德建设有何借鉴价值，作者没有进行深入研究。,0.996863,0.993028,0.00313749,2,正向,92,1
3,8.58E+18,有错别字，研究较为宽泛国外研究不够，文献不足，创新新差，操作性不强实证研究，体系完整，深入研究不足，针对性不足,0.0188511,0.958109,0.981149,0,负向,72,1
4,8.79E+18,有一定理论意义和现实意义，有一定创新性，摘要不完整，论述不深入，表达语言不够准确选题偏大，国内外研究现状不足，有些观点不正确结构清晰，格式规范，论证体系不足，缺乏创新性,0.0690452,0.846566,0.930955,0,负向,74,1
5,2.80E+18,有研究难度，具有意义，摘要不明确，研究现状不足部分内容牵强，缺乏深入分析，比较笼统，缺少必要佐证部分内容关联性不强，参看文献中文著作少，缺乏代表性外文。,0.00267189,0.994063,0.997328,0,负向,75,1
6,3.02E+18,有现实意义和理论意义，摘要不足，部分问题不深入，逻辑性不强摘要观点错误，注释和参考文献不要合一1、对所研究主题的视野不够开阔，没有能够将习近平供给侧结构改革的重要论述放到其新时代中国特色社会主义思想体系中去全面把握和系统的把握；2、对供给侧结构性改革的进程与前景缺乏必要的认识和分析。,0.254357,0.434763,0.745643,0,负向,77,1
7,1.73E+18,选题意义错误，缺少国外研究现状，文献引用不规范1、对论文所研究的哈贝马斯的“包容他者”的观点和理论，应当放到其沟通行动理论的总体框架中去进行系统和全面地认识和分析。2、论文应当基于马克思主义的基本理论，适度詹康对“他者”问题相关联的哈氏思想中所表现出来的普遍主义、折中主义以及西方中心主义等问题，进行较为深入的分析和批判。①文章所谓“规定分析法”不知真所言何物。②文章具有一定学术性但是选题的专业性不突出。,0.0605467,0.865452,0.939453,0,负向,80,1
8,7.33E+18,①“摘要”使用“第一人称”不能独立成编。②对“马克思世界市场理论意义”的总结提炼过于窄化。目录不完整，国外研究不足，缺少外文文献，创新新差，错误较多论述清晰，文理通常，现实意义不够，论证不深入,7.62E-05,0.999831,0.999924,0,负向,81,1
9,7.75E+17,有现实性和理论意义，文献不规范，结语太啰嗦问题意识不清晰，聚焦不足，问题和产生原因分析不足第四章和第五章缺乏对应性，调查问卷简单，参考文献排列混乱，缺乏逻辑性,0.000568504,0.998737,0.999432,0,负向,82,1
10,8.14E+18,①对理想教育和信念教育的差别有待区分②对理论意义和现实意义挖掘不够③个别参考文献存在问题，如专著第五个。总评合格选题具有理论意义和现实意义，论文语言流畅，总体架构基本合理1.论文摘要应该是直接摘出主要观点，而不能写成论文介绍。2.“习近平理想信念观形成的时代背景”部分文不对题，写的是习近平强调理想信念的原因，而不是时代背景。3.“习近平理想信念观形成的理论基础”中，内在逻辑混乱，习近平也是改革开放后党的领导集体成员，他自己的思想不能是他思想的基础。4.对国内外研究现状了解不够全面，国内只有介绍，没有分析，国外相关研究基本没有介绍。所谈内容与论题关联不大。5.引文不够规范，如马克思恩格斯选集用的不是最新版。6.参考文献不够全面，近形相关文献都严重不足。论文选题具有重要的学理价值和现实意义；但研究综述部分关于国外对习近平理想信念观的研究现状并没有相关分析；关于习近平对理想信念的界定未予阐释；习近平理想信念观的理论基础过于简单、内容不够系统；对共产主义远大理想与中国特色社会主义共同理想的关系没有分析；引证资料不够翔实，参考文献过少；论文没有多少创新性。,0.556993,0.0155408,0.443007,2,正向,68,1
